Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2017 PPP $) [SL.GDP.PCAP.EM.KD],Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment in services, female (% of female employment) (modeled ILO estimate) [SL.SRV.EMPL.FE.ZS]","Employment in services, male (% of male employment) (modeled ILO estimate) [SL.SRV.EMPL.MA.ZS]",Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS]
2011,YR2011,Denmark,DNK,107305.3198,2.394497,77.57063,89.82294,66.5968,20.03487
2011,YR2011,Ethiopia,ETH,3031.698217,72.49886,19.40798,24.8972,14.84105,8.093163
2011,YR2011,France,FRA,102276.1569,2.909444,74.91828,87.52632,63.5013,22.17228
2011,YR2011,Germany,DEU,101634.613,1.644621,70.11889,84.57938,57.67586,28.23649
2011,YR2011,Kenya,KEN,9362.80895,39.43818,47.50697,46.84589,48.13421,13.05486
2011,YR2011,Malawi,MWI,3707.84892,67.06227,25.62724,22.79721,28.32049,7.310475
2011,YR2011,Namibia,NAM,32375.48242,29.53393,57.19697,66.24031,49.22292,13.2691
2011,YR2011,Nigeria,NGA,15373.69151,40.58178,49.27172,57.03419,42.41707,10.14651
2011,YR2011,Uganda,UGA,5865.445429,68.79872,23.5061,21.68823,25.17442,7.695161
2011,YR2011,Tanzania,TZA,4405.961932,69.64146,24.43646,23.76756,25.09248,5.922069
2011,YR2011,Egypt,EGY,35815.05109,29.23911,47.18851,51.54216,46.08799,23.5724
2011,YR2011,Italy,ITA,113129.7582,3.681317,68.02996,83.0555,57.56681,28.28873
2012,YR2012,Denmark,DNK,108159.7606,2.637185,77.59409,89.52442,66.86383,19.76873
2012,YR2012,Ethiopia,ETH,3175.888554,72.07094,19.69487,25.92663,14.50333,8.234194
2012,YR2012,France,FRA,102387.6711,2.918836,75.32111,87.83768,,21.76007
2012,YR2012,Germany,DEU,101284.2525,1.560585,70.24623,84.70293,57.83273,28.1932
2012,YR2012,Kenya,KEN,9480.606577,38.69937,48.09524,47.8924,48.28749,13.2054
2012,YR2012,Malawi,MWI,3718.409977,66.76804,25.87138,23.00966,28.59192,7.360583
2012,YR2012,Namibia,NAM,32156.89161,27.36764,58.74786,68.20755,50.34882,13.8845
2012,YR2012,Nigeria,NGA,16283.86431,39.46394,49.5939,58.13615,42.08167,10.94215
2012,YR2012,Uganda,UGA,5892.348526,66.13567,25.84897,23.97858,27.56902,8.015368
2012,YR2012,Tanzania,TZA,4489.00104,69.36733,24.61684,24.20556,25.01724,6.015816
2012,YR2012,Egypt,EGY,36322.35343,27.07136,48.06871,56.89601,45.85907,24.85993
2012,YR2012,Italy,ITA,110061.9483,3.693079,68.72424,83.54533,58.16357,27.5827
2013,YR2013,Denmark,DNK,109488.66,2.593586,77.76516,89.885,66.84009,19.64126
2013,YR2013,Ethiopia,ETH,3387.552396,71.03363,20.55783,27.53012,14.73973,8.408524
2013,YR2013,France,FRA,103081.1099,3.074686,75.62,87.95512,64.23949,21.30532
2013,YR2013,Germany,DEU,100700.8634,1.446526,70.77584,84.95033,58.48873,27.77761
2013,YR2013,Kenya,KEN,9531.602929,,48.63507,48.88142,48.40181,13.35566
2013,YR2013,Malawi,MWI,3852.142529,66.05837,26.50899,23.49876,29.36909,7.432645
2013,YR2013,Namibia,NAM,31942.68164,31.39222,54.16457,63.98619,44.837,14.44322
2013,YR2013,Nigeria,NGA,17697.18788,38.27072,49.92189,59.24522,41.75571,11.80738
2013,YR2013,Uganda,UGA,5801.803726,71.91687,21.07972,19.31155,22.72382,7.003377
2013,YR2013,Tanzania,TZA,4662.719098,68.70484,25.17012,25.07362,25.26332,6.125011
2013,YR2013,Egypt,EGY,36565.53262,27.9588,47.93084,52.0941,46.85204,24.11036
2013,YR2013,Italy,ITA,109182.3499,3.601328,69.35184,83.79517,58.93301,27.04685
2014,YR2014,Denmark,DNK,110157.1051,2.48023,78.14964,89.92037,67.68137,19.37013
2014,YR2014,Ethiopia,ETH,3613.059996,69.68967,21.68141,29.21116,15.37506,8.628924
2014,YR2014,France,FRA,104567.2197,2.845329,76.62146,88.6025,65.44576,20.53319
2014,YR2014,Germany,DEU,102061.5646,1.428471,70.52013,84.79993,58.10749,28.05143
2014,YR2014,Kenya,KEN,9696.393492,37.26347,49.1577,49.86979,48.48399,13.57885
2014,YR2014,Malawi,MWI,3995.848595,65.26893,27.23015,24.10527,30.19971,7.50092
2014,YR2014,Namibia,NAM,33504.6729,29.32111,55.8471,64.52743,47.77806,14.83194
2014,YR2014,Nigeria,NGA,18168.91499,37.52303,50.43346,59.77922,42.4016,12.04352
2014,YR2014,Uganda,UGA,5905.129315,68.46802,24.27543,22.26886,26.1551,7.256574
2014,YR2014,Tanzania,TZA,4813.591945,68.05038,25.69563,25.94957,25.4513,6.254019
2014,YR2014,Egypt,EGY,37028.63952,27.54777,48.04509,51.78927,47.05642,24.40715
2014,YR2014,Italy,ITA,108120.8035,3.643572,69.45473,84.17674,58.78403,26.9017
2015,YR2015,Denmark,DNK,110783.5382,2.49157,78.08395,89.40147,68.14534,19.42445
2015,YR2015,Ethiopia,ETH,3860.057594,68.30122,22.83531,30.94047,16.02116,8.863458
2015,YR2015,France,FRA,105513.5051,2.713382,76.96803,88.94233,65.7376,20.31859
2015,YR2015,Germany,DEU,102705.0947,1.393919,70.91694,85.1601,58.47832,27.68915
2015,YR2015,Kenya,KEN,9865.568383,36.58966,49.61016,50.71686,48.56391,13.80015
2015,YR2015,Malawi,MWI,4033.047523,64.73297,27.70543,24.50732,30.74551,7.561622
2015,YR2015,Namibia,NAM,35406.90926,24.41683,58.49487,70.25561,47.78757,17.08829
2015,YR2015,Nigeria,NGA,18023.14346,37.0064,50.83793,60.39749,42.77227,12.15567
2015,YR2015,Uganda,UGA,5997.684131,67.8169,24.41722,22.47972,26.24527,7.765897
2015,YR2015,Tanzania,TZA,4938.588046,67.5038,26.1327,,25.70343,6.363496
2015,YR2015,Egypt,EGY,38769.77561,25.81509,49.10173,54.18154,47.76387,25.08321
2015,YR2015,Italy,ITA,108145.3464,3.751831,69.64812,84.2529,59.13574,26.60003
2016,YR2016,Denmark,DNK,112307.9243,2.334181,78.61759,89.79498,68.6689,19.04823
2016,YR2016,Ethiopia,ETH,4087.545633,67.25632,23.61328,32.16616,16.39975,9.130411
2016,YR2016,France,FRA,106267.6675,2.864217,76.90408,89.03326,65.53934,20.23168
2016,YR2016,Germany,DEU,102273.8001,1.308209,71.31003,85.27904,59.05805,27.38175
2016,YR2016,Kenya,KEN,9961.267609,35.86827,50.10103,51.59966,48.6853,14.0307
2016,YR2016,Malawi,MWI,4055.936348,64.25194,28.13475,24.85569,31.25317,7.613331
2016,YR2016,Namibia,NAM,35990.27107,20.07139,60.59519,75.01315,47.73843,19.33356
2016,YR2016,Nigeria,NGA,17131.85683,36.67591,51.18371,60.77856,43.233,12.14039
2016,YR2016,Uganda,UGA,6039.261704,66.78003,25.04247,23.31667,26.68248,8.177486
2016,YR2016,Tanzania,TZA,5090.211377,66.88446,26.62073,27.27818,25.98856,6.494799
2016,YR2016,Egypt,EGY,39674.48815,25.57313,48.92402,55.37785,47.16566,25.50288
2016,YR2016,Italy,ITA,108113.7455,3.884373,69.99314,84.5092,59.52142,26.12248
2017,YR2017,Denmark,DNK,114238.9073,2.110608,78.95119,90.19174,68.92305,18.9382
2017,YR2017,Ethiopia,ETH,4334.559648,65.96022,24.66033,33.71902,16.99411,9.379438
2017,YR2017,France,FRA,107795.4876,2.605672,76.98331,88.47993,66.27383,20.41102
2017,YR2017,Germany,DEU,104009.8344,1.276806,71.31884,85.22931,59.0833,27.40436
2017,YR2017,Kenya,KEN,10135.62474,35.17625,50.53135,52.36092,48.78688,14.29239
2017,YR2017,Malawi,MWI,4135.477858,63.66503,28.67153,25.32575,31.85567,7.663445
2017,YR2017,Namibia,NAM,34678.86372,21.38913,61.00817,73.16336,49.47695,17.60269
2017,YR2017,Nigeria,NGA,16658.52338,36.29753,51.56567,60.99578,43.88842,12.1368
2017,YR2017,Uganda,UGA,5969.718035,65.09868,26.25535,24.57061,27.86776,8.645951
2017,YR2017,Tanzania,TZA,5243.134381,66.34439,27.04356,27.92645,26.19537,6.612038
2017,YR2017,Egypt,EGY,41685.14864,25.04458,48.39214,56.18834,46.27033,26.56329
2017,YR2017,Italy,ITA,108606.7511,3.78415,70.21421,84.82641,59.62078,26.00163
2018,YR2018,Denmark,DNK,114733.1136,2.191685,78.89859,90.35368,68.73409,18.90976
2018,YR2018,Ethiopia,ETH,4487.043913,64.95966,25.43914,34.87654,17.42481,9.601213
2018,YR2018,France,FRA,108822.5452,2.49665,77.27068,88.9929,66.31361,20.23267
2018,YR2018,Germany,DEU,104352.1352,1.249488,71.41095,85.16099,59.31865,27.33956
2018,YR2018,Kenya,KEN,10501.91447,34.30287,51.0164,53.15268,48.95955,14.6807
2018,YR2018,Malawi,MWI,4173.140412,62.94659,29.3311,25.89828,32.61612,7.722305
2018,YR2018,Namibia,NAM,34130.05367,22.59067,61.18879,71.28783,51.00038,16.22055
2018,YR2018,Nigeria,NGA,16379.75851,35.91854,51.92871,61.24523,44.47231,12.15275
2018,YR2018,Uganda,UGA,6073.80582,64.28019,26.86745,25.24571,28.42751,8.852355
2018,YR2018,Tanzania,TZA,5340.508225,65.76806,27.48519,28.47669,26.53302,6.746752
2018,YR2018,Egypt,EGY,43736.23774,21.66416,51.47063,64.9257,48.43637,26.86522
2018,YR2018,Italy,ITA,108624.0985,3.757786,70.13921,84.49716,59.72007,26.10299
2019,YR2019,Denmark,DNK,114706.0952,2.222975,79.23107,90.14425,69.58841,18.54599
2019,YR2019,Ethiopia,ETH,4717.126883,63.89353,26.30548,36.27822,17.80784,9.800986
2019,YR2019,France,FRA,110229.5616,2.515296,77.0927,88.94728,65.92474,20.392
2019,YR2019,Germany,DEU,104012.7449,1.204102,71.61365,85.21824,59.64734,27.18228
2019,YR2019,Kenya,KEN,10836.58568,33.58759,51.41155,53.78832,49.09997,15.00087
2019,YR2019,Malawi,MWI,4250.331879,62.39201,29.8276,26.37099,33.15529,7.780389
2019,YR2019,Namibia,NAM,33323.04763,22.10058,61.75967,71.81932,51.60776,16.13975
2019,YR2019,Nigeria,NGA,16159.64953,35.51901,52.2858,61.5853,44.96494,12.19518
2019,YR2019,Uganda,UGA,6194.3523,63.51083,27.46441,25.95225,28.92772,9.024741
2019,YR2019,Tanzania,TZA,5461.013388,65.07989,28.04046,29.14415,26.97996,6.879666
2019,YR2019,Egypt,EGY,45450.90484,21.1478,50.24291,63.86028,47.66527,28.60928
2019,YR2019,Italy,ITA,109421.358,3.890345,70.24281,84.5739,59.77749,25.86684
2020,YR2020,Denmark,DNK,113300.6011,2.114526,78.99689,90.04064,69.235,18.88858
2020,YR2020,Ethiopia,ETH,4934.124193,64.08641,26.00297,36.38672,17.16479,9.910607
2020,YR2020,France,FRA,102117.269,2.350046,77.68517,89.28445,66.73547,19.96478
2020,YR2020,Germany,DEU,103081.5297,1.311538,71.23574,85.04325,59.03656,27.45272
2020,YR2020,Kenya,KEN,10663.23153,33.63792,51.07442,54.06966,48.15509,15.28766
2020,YR2020,Malawi,MWI,4110.963866,62.43581,29.65674,26.7108,32.38423,7.907463
2020,YR2020,Namibia,NAM,30934.94255,22.38087,61.51236,71.27559,51.64052,16.10677
2020,YR2020,Nigeria,NGA,15710.17359,35.75922,51.84192,61.68486,44.08091,12.39887
2020,YR2020,Uganda,UGA,6228.365029,63.47708,27.32081,26.31947,28.28884,9.202113
2020,YR2020,Tanzania,TZA,5640.885317,64.8265,28.16867,29.89933,26.55535,7.004791
2020,YR2020,Egypt,EGY,46941.16085,20.37913,51.12441,66.3682,48.3236,28.49645
2020,YR2020,Italy,ITA,101800.5624,3.983195,69.64549,84.18877,59.13223,26.37132
